Time Points,Mean
8,0.4864644623898783
9,0.41998154865206205
10,0.37985161451297605
11,0.48216625755555703
12,0.4750950241349211
13,0.8457567124524826
14,1.2246914994476026
15,1.3042032511949575
16,1.2153698959818933
17,1.1163043733918292
18,1.8791594238574083
19,2.2295869616759187
20,2.1911332301419857
21,1.66516259601251
22,1.382366338168251
23,1.3433672284164744
24,1.2349936838387987
25,0.8278937110422426
26,0.6989665835580596
27,0.5310365263945366
28,0.6574259412854114
29,0.7790720427698912
30,0.7094432045784012
31,0.8226250417840341
32,1.0574944424141326
33,1.0422544876459232
34,1.1533739010146247
35,1.1466343384401485
36,0.9502037132373582
37,0.8744111689273546
38,0.8215657167307702
39,0.7428671420340875
40,0.6781863502020256
41,0.5034922644695341
42,0.474607571521646
43,0.4154966995925212
44,0.5581937854401915
45,0.560554267164533
46,0.6039774569664577
47,0.6290127474164705
48,0.7688828776861432
49,0.6358394726138801
50,0.5992631994359321
51,0.5938851343956426
52,0.5760176758881803
53,0.4289838543614991
54,0.42693003758189707
55,0.4223641017953807
56,0.7248874099313164
57,0.8002580632935232
58,1.1464482422096403
59,1.062622808077268
60,1.1752557113622735
